Nombre,Factor,Categoria,Indice-H,Cantidad-articulos-ultimo,Cantidad-articulos-ultimos-tres,Enlace,ISSN,Homologacion
Pan-American Journal of Aquatic Sciences,0.221 ,Q4,18,17,94,https://www.scimagojr.com/journalsearch.php?q=11500153501&tip=sid&clean=0,Sin informacion,No
Thalassas,0.221 ,Q4,11,83,80,https://www.scimagojr.com/journalsearch.php?q=19400157218&tip=sid&clean=0,0212-5919/2366-1674,C
Acta Theriologica Sinica,0.220 ,Q4,20,76,176,http://english.mammal.cn/,1000-1050,C
Asian Journal of Cell Biology (discontinued),0.220 ,Q4,5,0,2,http://scialert.net/jindex.php?issn=1814-0068,Sin informacion,No
Commentationes Mathematicae Universitatis Carolinae,0.220 ,Q4,25,38,129,https://cmuc.karlin.mff.cuni.cz/,0010-2628/1213-7243,C
"Nursing management (Harrow, London, England : 1994)",0.220 ,Q4,17,43,562,https://rcni.com/nursing-management,Sin informacion,No
Polish Journal of Entomology,0.220 ,Q4,3,25,44,http://pte.au.poznan.pl/ppe/index.html,0032-3780/2299-9884,C
Revista Colombiana de Matematicas,0.220 ,Q4,4,7,45,https://www.scimagojr.com/journalsearch.php?q=21100332207&tip=sid&clean=0,Sin informacion,No
Beijing Hangkong Hangtian Daxue Xuebao/Journal of Beijing University of Aeronautics and Astronautics,0.219 ,Q4,22,290,969,http://www.ceps.com.tw/ec/ecSvcErr.aspx?errmsg=502,Sin informacion,No
Current Biomarkers,0.219 ,Q4,2,0,21,https://benthamscience.com/journals/current-biomarkers/,Sin informacion,No
Journal of Biomechanical Science and Engineering,0.219 ,Q4,16,11,80,https://www.scimagojr.com/journalsearch.php?q=19700186879&tip=sid&clean=0,1880-9863,C
Western Birds,0.219 ,Q4,10,28,65,https://www.scimagojr.com/journalsearch.php?q=22739&tip=sid&clean=0,0160-1121,C
Geologia USP - Serie Cientifica,0.218 ,Q4,20,27,109,http://geologiausp.igc.usp.br/geologiausp/sc1/lv.php,Sin informacion,No
Jaen Journal on Approximation,0.218 ,Q4,8,9,23,https://www.scimagojr.com/journalsearch.php?q=20500195069&tip=sid&clean=0,1889-3066/1989-7251,C
Journal of Community and Supportive Oncology,0.218 ,Q4,11,0,222,https://www.mdedge.com/content/about-journal-community-and-supportive-oncology,2330-7749,C
Journal of Fisheries and Aquatic Science (discontinued),0.218 ,Q4,15,0,47,https://www.scimagojr.com/journalsearch.php?q=15500154702&tip=sid&clean=0,Sin informacion,No
Journal of Mathematics and Statistics (discontinued),0.218 ,Q4,17,0,36,https://www.scimagojr.com/journalsearch.php?q=7400153105&tip=sid&clean=0,Sin informacion,No
Rheumatology Advances in Practice,0.218 ,Q4,3,8,45,https://www.scimagojr.com/journalsearch.php?q=21100901800&tip=sid&clean=0,2514-1775,C
Pan-Pacific Entomologist,0.217 ,Q4,19,14,100,https://www.scimagojr.com/journalsearch.php?q=21065&tip=sid&clean=0,Sin informacion,No
Herpetological Review,0.216 ,Q4,31,66,409,https://www.scimagojr.com/journalsearch.php?q=21992&tip=sid&clean=0,0018-084X,C
Hongwai Yu Haomibo Xuebao/Journal of Infrared and Millimeter Waves,0.216 ,Q4,26,122,372,http://www.springer.com/engineering/electronics/journal/10762,Sin informacion,No
Journal of Multiple-Valued Logic and Soft Computing,0.216 ,Q4,23,44,177,https://www.oldcitypublishing.com/journals/mvlsc-home/,Sin informacion,No
Oriental Insects,0.216 ,Q4,15,71,93,http://www.mapress.com/AP/oi.html,0030-5316/2157-8745,C
Psychologie du Travail et des Organisations,0.216 ,Q4,8,26,74,https://www.scimagojr.com/journalsearch.php?q=4100151502&tip=sid&clean=0,1420-2530,C
